ab	Abkhaz	"Abkhaz, Abkhazian, Abxazo"
adj	Adioukrou	"Adioukrou, Adjukru, Adyoukrou, Adyukru, Ajukru"
ak	Akan	"Akan, Twi-Fante"
ang	Old English	"Anglo-Saxon, Old English"
arr	Arara-Karo	"Arara-Karo, Karo"
ase	American Sign Language	"American Sign Language, Ameslan, ASL"
asf	Auslan	"Auslan, Australian Sign Language"
aue	ǂKxʼauǁʼein	"ǁAuǁei, Auen, Kaukau, Koko, Kung-Gobabis, ‡Kx'auǁ'ei, ǂKx'auǁ'ein, ǁX'auǁ'e"
aum	Abewa	"Abewa, Asu"
aus-gun	Gunai	"Gaanay, Ganai, Gunai, Gunnai', Kurnai, Kurnay"
av	Avar	"Avar, Avaric"
axb	Abipon	"Abipon, Abipón, Callaga, Kalyaga"
az	Azeri	"Azerbaijani, Azeri, Azari, Azeri Turkic, Azerbaijani Turkic"
bal	Baluchi	"Balochi, Baluchi"
bau	Badanchi	"Bada, Badanchi"
bcn	Bibaali	"Bali, Bibaali"
bdh	Tara Baka	"Baka, Tara Baka"
be	Belarusian	"Belarusian, Belorussian, Belarusan, Bielorussian, Byelorussian, Belarussian, White Russian"
bey	Akuwagel	"Akuwagel, Beli"
bfi	British Sign Language	"British Sign Language, BSL"
bkc	Baka	Template:bkc/names
bkp	Iboko	"Boko, Iboko"
bm	Bambara	"Bamanankan, Bambara"
bmy	Kinyabemba	"Bemba, Kinyabemba"
bn	Bengali	"Bengali, Bangla"
bua	Buryat	"Buriat, Buryat"
bzj	Belize Kriol English	"Belizean Creole, Belizean Creole English, Belizean Kriol, Belize Kriol English, Kriol"
bzs	Brazilian Sign Language	"Brazilian Sign Language, LGB (obsolete), LSB (obsolete), LSCB (obsolete), Libras"
ca	Catalan	"Catalan, Valencian"
car	Galibi Carib	"Carib, Caribe, Cariña, Galibi, Galibí, Galibi Carib, Kalihna, Kali'na, Kalinya, Maraworno, Marworno"
cmn	Mandarin	"Mandarin, Mandarin Chinese, Putonghua, Guoyu, Huayu, Guanhua, Beifanghua, Standard Chinese"
cpe-mar	Maroon Spirit Language	"Jamaican Maroon Spirit Possession Language, Maroon Spirit Language"
den	Slavey	"Slave, Slavé, Slavey"
